id;nombretest;positifcas;date
1;Croatian Kuna calculating ADP;South Carolina National;2021-01-20
2;Bedfordshire haptic Avon;Orchestrator;2021-01-20
3;productivity Maryland;Gorgeous Plastic Sausages Handmade Concrete Tuna iterate;2021-01-20
4;matrix;e-services Nevada;2021-01-20
5;Associate Intranet;Generic Steel Tuna e-tailers;2021-01-20
6;Checking Account Gorgeous Personal Loan Account;optical Generic Concrete Keyboard Mouse;2021-01-20
7;Principal envisioneer;calculate solid state;2021-01-20
8;Operative;web-readiness Viaduct Handmade Frozen Tuna;2021-01-20
9;Chief withdrawal;South Georgia and the South Sandwich Islands Sleek Wooden Soap;2021-01-20
10;virtual Object-based Toys;benchmark turquoise;2021-01-20
