id;nombrecasparjour;caspositif;cascommunautaire;casgrave;guerison;deces;cascontact;casimporte
1;Awesome Steel Table PNG;Operations facilitate;Walk indigo transitional;moderator SMS olive;Idaho Brooks;Handcrafted Canadian Dollar;FTP;SMS Incredible Plastic Chair
2;invoice plug-and-play;XML;Steel;Bedfordshire support Kansas;systems Sausages;real-time International;implement;bandwidth granular
3;Branding;neural-net;Togo;magnetic Customizable Auto Loan Account;Granite;Central Handmade Soft Gloves Practical Metal Pants;hybrid;SAS
4;Checking Account RSS Credit Card Account;Tunisia;Sleek Plastic Soap;backing up transmitting;Future;synthesizing Toys;Buckinghamshire Sharable neural;incubate Personal Loan Account productivity
5;challenge Balanced;Handcrafted TCP;Sweden;front-end Bike;Shirt Chicken;Liaison alarm;driver turn-key;Shoes Home framework
6;system-worthy Auto Loan Account;Village B2B;Radial Savings Account;Handcrafted Rubber Cheese unleash Fall;Rustic;Senior generate task-force;Consultant Generic Steel Computer;Tools Rustic Cotton Gloves
7;bypass Bedfordshire;Toys Handmade Program;Internal North Carolina;Buckinghamshire Savings Account Personal Loan Account;Accountability parsing Keyboard;input Gloves Liberian Dollar;programming Borders;sky blue
8;green Money Market Account;Bedfordshire;Plastic Buckinghamshire West Virginia;Ferry Facilitator Avon;Ergonomic Investment Account;SDD quantify black;CSS payment feed;deposit Granite digital
9;one-to-one;methodologies Global focus group;South Carolina;Assistant protocol executive;monitor hard drive;Court;Metal hacking Money Market Account;modular
10;calculate Handmade Concrete Bacon;Manager users Cape;Connecticut motivating recontextualize;Colombia;Electronics IB Dynamic;implementation responsive Saint Barthelemy;application;Cordoba Oro application
